Appointment_ID,Start_DateTime,End_DateTime,Type,Location,Skill_Group,Gender_Pref
APT0120,10/02/2027 15:00,10/02/2027 15:30,In-Person,Geelong,UG_005,Female
APT0121,10/02/2027 10:00,10/02/2027 10:30,In-Person,Sydney CBD,UG_001,Female
APT0122,10/02/2027 14:30,10/02/2027 15:30,In-Person,Canberra,UG_999,N/A
APT0123,10/02/2027 11:00,10/02/2027 12:30,In-Person,Canberra,UG_001,Male
APT0124,10/02/2027 10:00,10/02/2027 11:30,In-Person,NonExistingLocation,UG_001,Female
APT0125,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_003,N/A
APT0126,10/02/2027 17:30,10/02/2027 19:00,In-Person,Sydney CBD,UG_001,Female
APT0127,10/02/2027 15:00,10/02/2027 16:30,Online,,UG_007,Female
APT0128,10/02/2027 11:30,10/02/2027 12:30,In-Person,Gold Coast,UG_999,Other
APT0129,10/02/2027 10:30,10/02/2027 12:00,Online,,UG_007,Male
APT0130,10/02/2027 14:00,10/02/2027 15:00,In-Person,NonExistingLocation,UG_001,Female
APT0131,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_003,Male
APT0132,10/02/2027 10:30,10/02/2027 11:30,In-Person,Gold Coast,UG_001,Male
APT0133,10/02/2027 15:30,10/02/2027 17:00,In-Person,Gold Coast,UG_001,N/A
APT0134,10/02/2027 16:00,10/02/2027 17:00,Online,,UG_999,N/A
APT0135,10/02/2027 11:30,10/02/2027 12:30,Online,,UG_005,Female
APT0136,10/02/2027 10:00,10/02/2027 11:00,Online,,UG_003,Male
APT0137,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_005,Female
APT0138,10/02/2027 08:00,10/02/2027 09:30,In-Person,Gold Coast,UG_001,Male
APT0139,10/02/2027 14:00,10/02/2027 15:30,In-Person,Sydney CBD,UG_007,Other
APT0140,10/02/2027 09:30,10/02/2027 10:00,Online,,UG_999,Other
APT0141,10/02/2027 16:30,10/02/2027 17:30,Online,,UG_005,Male
APT0142,10/02/2027 14:30,10/02/2027 16:00,Online,,UG_003,Other
APT0143,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_005,Other
APT0144,10/02/2027 17:00,10/02/2027 18:00,Online,,UG_003,Male
APT0145,10/02/2027 11:30,10/02/2027 12:30,In-Person,Geelong,UG_003,N/A
APT0146,10/02/2027 13:00,10/02/2027 14:30,In-Person,Parramatta,UG_999,Male
APT0147,10/02/2027 09:00,10/02/2027 09:30,Online,,UG_007,Male
APT0148,10/02/2027 12:00,10/02/2027 12:30,Online,,UG_001,Male
APT0149,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_001,Female
APT0150,10/02/2027 15:30,10/02/2027 16:30,In-Person,Parramatta,UG_005,Female
APT0151,10/02/2027 08:30,10/02/2027 10:00,In-Person,Gold Coast,UG_003,Male
APT0152,10/02/2027 13:30,10/02/2027 14:00,In-Person,Parramatta,UG_999,Other
APT0153,10/02/2027 14:00,10/02/2027 15:00,Online,,UG_007,Other
APT0154,10/02/2027 08:00,10/02/2027 09:30,In-Person,NonExistingLocation,UG_005,Other
APT0155,10/02/2027 23:00,11/02/2027 00:30,In-Person,Gold Coast,UG_003,N/A
APT0156,10/02/2027 14:00,10/02/2027 15:30,In-Person,Sydney CBD,UG_003,N/A
APT0157,10/02/2027 16:00,10/02/2027 16:30,In-Person,Gold Coast,UG_005,Other
APT0158,10/02/2027 09:30,10/02/2027 11:00,Online,,UG_999,N/A
APT0159,10/02/2027 14:00,10/02/2027 15:30,Online,,UG_003,Female
APT0160,10/02/2027 15:00,10/02/2027 16:30,In-Person,NonExistingLocation,UG_001,Other
APT0161,10/02/2027 23:00,11/02/2027 00:30,In-Person,Parramatta,UG_005,N/A
APT0162,10/02/2027 13:30,10/02/2027 15:00,In-Person,Sydney CBD,UG_003,Other
APT0163,10/02/2027 09:00,10/02/2027 10:00,Online,,UG_001,Female
APT0164,10/02/2027 15:30,10/02/2027 16:30,Online,,UG_999,Other
APT0165,10/02/2027 10:30,10/02/2027 12:00,In-Person,Canberra,UG_003,Other
APT0166,10/02/2027 11:30,10/02/2027 12:30,In-Person,NonExistingLocation,UG_003,Female
APT0167,10/02/2027 23:00,11/02/2027 00:30,In-Person,Geelong,UG_001,Male
APT0168,10/02/2027 15:30,10/02/2027 17:00,In-Person,Gold Coast,UG_001,N/A
APT0169,10/02/2027 13:30,10/02/2027 15:00,Online,,UG_007,Other
APT0170,10/02/2027 15:30,10/02/2027 16:00,Online,,UG_999,Female
APT0171,10/02/2027 17:00,10/02/2027 17:30,In-Person,Gold Coast,UG_007,Other
APT0172,10/02/2027 08:30,10/02/2027 10:00,Online,,UG_007,Female
APT0173,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_005,Male
APT0174,10/02/2027 08:00,10/02/2027 09:30,In-Person,Canberra,UG_001,Other
APT0175,10/02/2027 13:30,10/02/2027 15:00,Online,,UG_003,Other
APT0176,10/02/2027 11:30,10/02/2027 12:30,Online,,UG_999,Other
APT0177,10/02/2027 10:30,10/02/2027 11:30,Online,,UG_003,Other
APT0178,10/02/2027 13:30,10/02/2027 14:30,Online,,UG_005,N/A
APT0179,10/02/2027 23:00,11/02/2027 00:30,In-Person,Gold Coast,UG_003,Male
APT0180,10/02/2027 12:00,10/02/2027 12:30,Online,,UG_007,Female
APT0181,10/02/2027 10:00,10/02/2027 11:30,In-Person,Canberra,UG_001,Female
APT0182,10/02/2027 14:30,10/02/2027 15:30,In-Person,Gold Coast,UG_999,N/A
APT0183,10/02/2027 12:30,10/02/2027 13:30,In-Person,Canberra,UG_001,Male
APT0184,10/02/2027 11:00,10/02/2027 12:00,Online,,UG_001,N/A
APT0185,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_005,Other
APT0186,10/02/2027 13:30,10/02/2027 14:00,Online,,UG_001,Other
APT0187,10/02/2027 17:30,10/02/2027 18:00,In-Person,Sydney CBD,UG_005,Other
APT0188,10/02/2027 16:00,10/02/2027 17:00,Online,,UG_999,N/A
APT0189,10/02/2027 17:30,10/02/2027 18:30,Online,,UG_003,Other
APT0190,10/02/2027 13:00,10/02/2027 14:00,Online,,UG_001,Male
APT0191,10/02/2027 23:00,11/02/2027 00:30,In-Person,Sydney CBD,UG_005,Other
APT0192,10/02/2027 12:00,10/02/2027 13:30,Online,,UG_005,N/A
APT0193,10/02/2027 13:30,10/02/2027 15:00,Online,,UG_007,Female
APT0194,10/02/2027 10:30,10/02/2027 11:00,In-Person,Parramatta,UG_999,Male
APT0195,10/02/2027 11:00,10/02/2027 11:30,Online,,UG_001,Male
APT0196,10/02/2027 15:30,10/02/2027 17:00,In-Person,NonExistingLocation,UG_007,Male
APT0197,10/02/2027 23:00,11/02/2027 00:30,In-Person,Geelong,UG_007,Other
APT0198,10/02/2027 11:30,10/02/2027 12:00,Online,,UG_007,Female
APT0199,10/02/2027 10:00,10/02/2027 11:30,In-Person,Geelong,UG_001,Other
APT0200,10/02/2027 13:00,10/02/2027 14:00,Online,,UG_999,N/A
APT0201,10/02/2027 10:00,10/02/2027 11:30,In-Person,Gold Coast,UG_007,Other
APT0202,10/02/2027 16:30,10/02/2027 17:30,Online,,UG_007,Female
APT0203,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_005,N/A
APT0204,10/02/2027 12:00,10/02/2027 12:30,Online,,UG_001,Male
APT0205,10/02/2027 16:00,10/02/2027 16:30,Online,,UG_005,N/A
APT0206,10/02/2027 16:30,10/02/2027 17:00,Online,,UG_999,Other
APT0207,10/02/2027 08:00,10/02/2027 09:00,Online,,UG_003,Other
APT0208,10/02/2027 13:30,10/02/2027 14:00,Online,,UG_007,N/A
APT0209,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_007,Female
APT0210,10/02/2027 12:00,10/02/2027 12:30,Online,,UG_003,Other
APT0211,10/02/2027 12:30,10/02/2027 14:00,Online,,UG_007,Female
APT0212,10/02/2027 09:00,10/02/2027 09:30,In-Person,Sydney CBD,UG_999,N/A
APT0213,10/02/2027 17:30,10/02/2027 18:30,Online,,UG_007,Female
APT0214,10/02/2027 08:00,10/02/2027 08:30,In-Person,NonExistingLocation,UG_001,Female
APT0215,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_003,N/A
APT0216,10/02/2027 08:00,10/02/2027 08:30,In-Person,Parramatta,UG_001,N/A
APT0217,10/02/2027 11:00,10/02/2027 12:00,Online,,UG_005,N/A
APT0218,10/02/2027 13:30,10/02/2027 14:30,In-Person,Sydney CBD,UG_999,Female
APT0219,10/02/2027 08:30,10/02/2027 09:30,Online,,UG_001,Male
APT0220,10/02/2027 11:00,10/02/2027 12:00,Online,,UG_001,Male
APT0221,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_003,Male
APT0222,10/02/2027 11:00,10/02/2027 12:00,In-Person,Gold Coast,UG_003,N/A
APT0223,10/02/2027 14:00,10/02/2027 15:30,Online,,UG_005,Female
APT0224,10/02/2027 08:30,10/02/2027 10:00,In-Person,Sydney CBD,UG_999,Other
APT0225,10/02/2027 11:00,10/02/2027 12:00,In-Person,Parramatta,UG_001,Other
APT0226,10/02/2027 14:30,10/02/2027 15:30,In-Person,NonExistingLocation,UG_005,Male
APT0227,10/02/2027 23:00,11/02/2027 00:30,In-Person,Geelong,UG_007,Female
APT0228,10/02/2027 13:30,10/02/2027 14:00,In-Person,Parramatta,UG_007,Male
APT0229,10/02/2027 17:30,10/02/2027 18:30,In-Person,Geelong,UG_005,Female
APT0230,10/02/2027 16:30,10/02/2027 17:00,In-Person,Canberra,UG_999,Other
APT0231,10/02/2027 16:30,10/02/2027 18:00,Online,,UG_007,Male
APT0232,10/02/2027 14:00,10/02/2027 15:00,In-Person,NonExistingLocation,UG_001,N/A
APT0233,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_007,Female
APT0234,10/02/2027 17:00,10/02/2027 17:30,Online,,UG_005,N/A
APT0235,10/02/2027 12:00,10/02/2027 13:30,In-Person,Geelong,UG_003,N/A
APT0236,10/02/2027 12:30,10/02/2027 13:30,Online,,UG_999,Male
APT0237,10/02/2027 16:00,10/02/2027 17:00,In-Person,Geelong,UG_005,Female
APT0238,10/02/2027 09:00,10/02/2027 10:30,Online,,UG_003,N/A
APT0239,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_005,N/A
APT0240,10/02/2027 13:00,10/02/2027 13:30,In-Person,Gold Coast,UG_001,Male
APT0241,10/02/2027 10:00,10/02/2027 10:30,In-Person,Parramatta,UG_001,N/A
APT0242,10/02/2027 11:00,10/02/2027 11:30,In-Person,Gold Coast,UG_999,N/A
APT0243,10/02/2027 16:00,10/02/2027 17:30,Online,,UG_001,Male
APT0244,10/02/2027 17:30,10/02/2027 19:00,In-Person,NonExistingLocation,UG_003,N/A
APT0245,10/02/2027 23:00,11/02/2027 00:30,In-Person,Sydney CBD,UG_007,Other
APT0246,10/02/2027 08:30,10/02/2027 10:00,Online,,UG_001,Male
APT0247,10/02/2027 12:30,10/02/2027 13:00,In-Person,Gold Coast,UG_001,Male
APT0248,10/02/2027 11:30,10/02/2027 13:00,Online,,UG_999,Female
APT0249,10/02/2027 16:00,10/02/2027 17:30,In-Person,Gold Coast,UG_003,Other
APT0250,10/02/2027 09:30,10/02/2027 11:00,Online,,UG_007,N/A
APT0251,10/02/2027 23:00,11/02/2027 00:30,In-Person,Gold Coast,UG_007,Other
APT0252,10/02/2027 10:30,10/02/2027 12:00,Online,,UG_005,Other
APT0253,10/02/2027 16:30,10/02/2027 17:30,Online,,UG_007,N/A
APT0254,10/02/2027 13:00,10/02/2027 14:30,In-Person,Gold Coast,UG_999,N/A
APT0255,10/02/2027 16:30,10/02/2027 18:00,Online,,UG_005,Female
APT0256,10/02/2027 14:00,10/02/2027 14:30,In-Person,NonExistingLocation,UG_001,Female
APT0257,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_003,Female
APT0258,10/02/2027 13:00,10/02/2027 13:30,Online,,UG_003,Male
APT0259,10/02/2027 08:30,10/02/2027 09:30,Online,,UG_003,Female
APT0260,10/02/2027 12:00,10/02/2027 13:00,In-Person,Parramatta,UG_999,Other
APT0261,10/02/2027 09:00,10/02/2027 10:30,Online,,UG_003,Other
APT0262,10/02/2027 13:00,10/02/2027 14:00,In-Person,NonExistingLocation,UG_001,Other
APT0263,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_001,Male
APT0264,10/02/2027 13:00,10/02/2027 14:00,Online,,UG_007,Male
APT0265,10/02/2027 11:30,10/02/2027 13:00,In-Person,Canberra,UG_001,Other
APT0266,10/02/2027 16:00,10/02/2027 16:30,Online,,UG_999,Other
APT0267,10/02/2027 16:00,10/02/2027 17:30,In-Person,Parramatta,UG_001,Female
APT0268,10/02/2027 17:30,10/02/2027 19:00,In-Person,NonExistingLocation,UG_007,Other
APT0269,10/02/2027 23:00,11/02/2027 00:30,In-Person,Sydney CBD,UG_001,N/A
APT0270,10/02/2027 17:00,10/02/2027 18:30,In-Person,Gold Coast,UG_007,Other
APT0271,10/02/2027 09:00,10/02/2027 10:00,Online,,UG_003,Female
APT0272,10/02/2027 15:30,10/02/2027 17:00,In-Person,Canberra,UG_999,Female
APT0273,10/02/2027 16:30,10/02/2027 18:00,In-Person,Parramatta,UG_001,Female
APT0274,10/02/2027 13:00,10/02/2027 14:30,In-Person,NonExistingLocation,UG_007,N/A
APT0275,10/02/2027 23:00,11/02/2027 00:30,In-Person,Sydney CBD,UG_005,Male
APT0276,10/02/2027 12:30,10/02/2027 13:00,Online,,UG_007,Female
APT0277,10/02/2027 15:00,10/02/2027 15:30,In-Person,Parramatta,UG_005,Female
APT0278,10/02/2027 09:00,10/02/2027 09:30,In-Person,Parramatta,UG_999,Other
APT0279,10/02/2027 08:00,10/02/2027 09:00,In-Person,Sydney CBD,UG_007,Male
APT0280,10/02/2027 13:00,10/02/2027 13:30,In-Person,NonExistingLocation,UG_005,N/A
APT0281,10/02/2027 23:00,11/02/2027 00:30,In-Person,Geelong,UG_007,Male
APT0282,10/02/2027 12:00,10/02/2027 12:30,In-Person,Sydney CBD,UG_003,Other
APT0283,10/02/2027 08:30,10/02/2027 09:30,In-Person,Geelong,UG_007,Other
APT0284,10/02/2027 13:30,10/02/2027 14:00,In-Person,Sydney CBD,UG_999,Female
APT0285,10/02/2027 14:00,10/02/2027 15:30,In-Person,Sydney CBD,UG_007,Male
APT0286,10/02/2027 11:00,10/02/2027 12:30,Online,,UG_001,Male
APT0287,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_005,N/A
APT0288,10/02/2027 14:00,10/02/2027 15:30,In-Person,Geelong,UG_005,Other
APT0289,10/02/2027 13:30,10/02/2027 15:00,Online,,UG_003,Other
APT0290,10/02/2027 08:30,10/02/2027 10:00,Online,,UG_999,Male
APT0291,10/02/2027 16:30,10/02/2027 17:30,In-Person,Parramatta,UG_005,Other
APT0292,10/02/2027 10:00,10/02/2027 10:30,Online,,UG_003,N/A
APT0293,10/02/2027 23:00,11/02/2027 00:30,In-Person,Canberra,UG_005,Other
APT0294,10/02/2027 15:00,10/02/2027 16:30,In-Person,Parramatta,UG_003,Female
APT0295,10/02/2027 10:00,10/02/2027 11:00,In-Person,Canberra,UG_003,Female
APT0296,10/02/2027 13:00,10/02/2027 13:30,In-Person,Parramatta,UG_999,Female
APT0297,10/02/2027 08:00,10/02/2027 09:00,Online,,UG_007,Female
APT0298,10/02/2027 12:00,10/02/2027 12:30,In-Person,NonExistingLocation,UG_003,Female
APT0299,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_003,Female
APT0300,10/02/2027 11:30,10/02/2027 13:00,In-Person,Sydney CBD,UG_001,N/A
APT0301,10/02/2027 10:00,10/02/2027 11:30,Online,,UG_005,Female
APT0302,10/02/2027 14:00,10/02/2027 15:00,Online,,UG_999,Female
APT0303,10/02/2027 11:00,10/02/2027 11:30,In-Person,Canberra,UG_001,Female
APT0304,10/02/2027 11:30,10/02/2027 13:00,In-Person,NonExistingLocation,UG_001,Female
APT0305,10/02/2027 23:00,11/02/2027 00:30,Online,,UG_005,N/A
APT0306,10/02/2027 11:30,10/02/2027 12:30,Online,,UG_001,N/A
APT0307,10/02/2027 13:00,10/02/2027 14:00,In-Person,Gold Coast,UG_001,N/A
APT0308,10/02/2027 15:00,10/02/2027 15:30,In-Person,Gold Coast,UG_999,Male
APT0309,10/02/2027 16:30,10/02/2027 17:30,In-Person,Parramatta,UG_005,Female
APT0310,10/02/2027 12:30,10/02/2027 13:30,Online,,UG_003,N/A
APT0311,10/02/2027 23:00,11/02/2027 00:30,In-Person,Gold Coast,UG_003,N/A
APT0312,10/02/2027 15:00,10/02/2027 15:30,In-Person,Parramatta,UG_003,N/A
APT0313,10/02/2027 14:30,10/02/2027 15:30,Online,,UG_001,Female
APT0314,10/02/2027 15:00,10/02/2027 16:30,In-Person,Canberra,UG_999,Other
APT0315,10/02/2027 13:00,10/02/2027 14:30,In-Person,Geelong,UG_001,Other
APT0316,10/02/2027 15:00,10/02/2027 16:30,Online,,UG_001,N/A
APT0317,10/02/2027 23:00,11/02/2027 00:30,In-Person,Canberra,UG_007,Male
APT0318,10/02/2027 10:30,10/02/2027 11:30,In-Person,Parramatta,UG_003,Female
APT0319,10/02/2027 08:30,10/02/2027 09:30,Online,,UG_005,N/A
